,insc,cn2,ch2,lc2,rd2,cn,ch,lc,mt,rd
83,c83fe640ba466ba904ac1055e53a875289888797,402.2,511.1,512.1,600,444.3,509.1,530.1,488.3,540
84,8855ae8971b9bd9b02c45a82c6c894a2e76ca542,447,551.8,537.5,480,401.8,487.6,444.6,363.1,560
85,a2945f1e7fbadac669590b7d9fafb6c900bca3d0,397.8,408.9,383.3,540,457,538.6,555.2,418,660
86,328639a0c753715c30a58bae70c82f2101153eb3,370.4,498.1,554,460,475.7,547.4,483.5,503,520
88,643a0eb394b50694c74d5b5fc70b7f7f7c93f9c7,544,564.4,533.7,740,459.2,505.6,456,507.8,320
89,f56746cc2900258507d2b32c126f8db090db856f,433.9,446.2,528.5,480,382.4,368.3,482,392.4,520
90,1a4963b5fea8bb25c67750cdafbe84b01efad177,422.7,436.2,480,400,460.7,505.8,448.2,351.3,0
91,b520c940e62f4ed684417e7eacf00d85752060da,441.6,608,520.8,560,462.8,524.6,498.6,418.9,520
92,2e170cf2651ed448991af6fc5df15167733b2d8f,497.9,553.7,544.7,500,431.1,431.7,467.8,413,0
93,6efdd93a0ae289be6bb5a400bfc1deb077d75886,416.2,447.2,474.6,240,413.1,541.7,564.2,421,440
94,72ac2acc787d8cba0934cca3810ac091d792c8db,435.5,652.2,631.1,560,444.7,412.6,382.5,433.8,260
95,92a25eee14554806f081869cc9dac868fd1860fb,397.5,450.7,534.5,540,456.7,528.5,456.5,429,580
96,1f12a9b01eb9ef227a5482f498f3354bd485d9a3,415.8,463.9,446.3,320,591.8,625.3,591.7,650,760
97,acfcaf61fe2a8ec90ea2648c3125b7dc4dd13b74,419.9,490.2,533.8,600,510,543.2,575.7,496.7,560
98,7ec2f787b9f57044bd98c0d4854f521c9f9ec635,524.3,581.3,590,700,435.5,557.9,530.3,487.8,380
99,e8d2d318a1e057e9cac8384f1269a86c4b36e0a7,427.8,451.6,517.4,580,432.7,578.4,546.8,408.4,540
101,b45fb481022f31dd47c63c1c3e2ccc3b5915b67d,451.7,546.1,514.2,520,383.1,566.5,404,380.7,620
102,1a46d99716282410d1170f0f35069b34e34415d4,472.1,555.7,389.7,0,452.7,620.1,617.7,400,640
103,0467e022da4ef897f666bc76f31e1bc8976f7e92,457.3,524.1,593.3,580,383.2,495.6,492.3,371.1,520
104,993aca0d5eac6741117947c82a3647102096255e,483.7,503.3,477.6,560,442.5,555.5,486,411.8,680
105,94c96ade6ade21deb080bba6aad537fc4f195d47,487.2,564.7,597.4,0,390.1,577.9,455,575,600
106,36bb672077a46a3e4755cef90437a616d28bdf23,386.3,482.4,522.2,400,471.8,535.9,555.5,408.6,680
107,e406adf1d4712381dcd4d1c9d78fc9d7f14ff450,394.6,506.4,375.2,440,383.7,520.6,544.7,378.4,360
108,328ca19128d276eb4fbc309c54ec7f346c803d2f,693.3,716.3,697.1,980,541.1,557.9,576.9,457.4,580
109,27cdb62f0a2a5467efeb30aafbf246ed2320c532,384.9,495.2,368.8,400,0,0,0,0,0
111,f9ef2695eb0986666093945894b8f2fee351bf22,455.3,574,586.2,760,575.5,605.2,606.9,708.2,560
114,8a021391cdaac100dab56c59284bd50137a74129,560.6,578.2,538.6,640,454.2,433,485.2,445.3,520
116,b4ea8e8529711d52ed85b1a1f8ea0180bda442b8,539.2,537.9,531.7,400,582.2,602.8,599.4,496.1,840
118,720ef6c1d6cb4978762fb0edf4e55fd8303fe35a,478.5,462,513.5,560,542.1,610.3,583.3,499.7,940
120,b9f786712775e0d1d735398d710b01f404c985a3,417.8,370.9,468,380,438.7,446.1,470.1,345.8,340
121,564958997e204bda06fbe90afc4722805c78a855,583.3,633.2,592.5,440,373.7,594.7,543,540.2,640
122,36f38ea81d1305770cd5153f1e1667fe8a1eb47f,422.9,465.7,451,320,509.2,575.1,548.5,540.5,560
124,5a42c3f801e77d628649a6c34f3a4e5b80f232f7,451.5,569.2,525.8,640,477.9,569.7,529.6,408.3,540
125,8296743fdd105ce9183561cf5b359b0a3781465e,427.8,455.2,497.7,420,490.8,543.4,562.6,399.3,560
127,6602c7f15a1fdd082265b64976448c6809df792d,417.6,507.1,508.7,640,516.2,507.6,444.3,363.4,560
128,31ae66f0fe024acae4490915c348e487f2367574,554.2,532.3,532.2,540,455.6,587.1,574.1,538.3,680
129,81901aa980653106e64863d957387d24e2c00af3,451.5,422.8,414.6,300,515.6,547.1,475.5,403.9,520
130,28e10d1bd0b6effe0edd503446ebda948ad240ad,423,500.3,471.4,440,485.2,558.7,552.6,438.6,580
131,53a7ee52a87f80241e2ca13c923e06b72bf3a059,414.7,369.3,472,340,469.5,479.9,455.6,437.1,520
134,0e2c166db6aa7deccbe4896423a1d68f6d57b0f1,588.6,611.2,590.7,820,483,514.2,424.5,443.3,500
136,02681b5c893b94db204713cb4b20dde6fc3f2f95,523.6,613.2,555.4,760,635.8,649.6,636.7,724.1,780
137,6ce4c0e0784b3881b36b3d1c047ac6ad121681da,411.4,390.7,526.1,440,387,459.9,455.1,501.7,580
139,28c6829e69879bc1d34db1cd51b89562d3cc596b,479.5,602.4,592.7,580,429.8,568.9,570.6,626,400
140,ecb9f0d7a261c9f27865ea22f2e643701f721eb6,458.9,515.6,532,540,435.7,533.5,544.2,405.1,520
142,923538833160e8432636c88e8119378a43b3d766,480.2,499.6,476.6,380,416.3,665.6,568.5,351.5,720
143,aacb834258765a2959ee63c57d2be4923d11a696,436.4,565.2,491.5,460,398.6,479.7,495.8,433.2,520
144,c32e484025571dd94255a77f21de08ab8d2aaba8,445.7,591.2,513.7,520,557.8,603.3,574.6,590.1,600
145,d425deeec0a3c7006f14d732eff8933d5155067f,453.2,593.1,511.1,520,414.4,450.5,379.6,443.7,440
146,f7e7aa93db083d1f25b43cccf4ad2c03a7953cd3,438.5,536,574.1,560,431.9,591.1,493.4,372.2,540
147,716a178e9a6f7791b820da77879943ac9040a547,409.2,523.1,558.8,380,653.2,703.6,623.8,664.6,740
148,430212cd8767ef2bff8cda0f61729203fef7523e,399.8,521.1,434,520,468.5,351,373,490.2,440
149,e97d33221238e445688a0e984778d4ecac788be2,494.3,555.8,562.9,720,436.6,511.9,569,420.6,460
151,4bc5712bdb9067b1814e969e71d5cdad59bb38d4,483.6,589.9,538.7,580,512.3,486.9,516.5,416.8,560
152,0411742cbb54fe1b6927b25f0bb52b885828c828,429.3,553.5,382.6,520,512,635,578.5,501,520
153,780505a9d5fc3c6da53686c0cc8bd871f4db00bc,400.1,429.7,416.5,500,565.2,583.5,570.7,676,500
155,e4e7a38b58319ad0a5cde4848622b21783c907e9,463.4,556.5,552.3,560,416.8,550,488.8,456.8,560
156,9c5a0a82074c75cb072752d71da42b9c6c27b0a3,558.3,659.7,592.4,520,438.1,425.9,505.5,423.9,260
157,aec1b63c3f0c9554e533752d8fe138ca82101d4a,442.8,526.9,446.5,420,401.8,486.3,520.1,333.8,560
158,4cc0fd1efaa148872a1f9edc1b44efef48c91c2b,467,541.5,561.6,560,411,517.4,516.2,451.2,520
159,4b48d500ba4410546ce01f7f6d44bcbafa73994f,430.1,490,415.3,460,445.7,410.3,372,446.1,500
160,edf33c347c866d26872f540bcc1f6ae415f3294c,480.4,531.9,484.3,560,535.4,588.2,575.1,366.9,480
161,54f4e6037b9d1eb4a2a134306d37176787f1c1d3,495,576.5,586.6,620,440.8,520.9,414.6,502.8,680
162,3a265ea6ebdc4eb2520db912adf5592f03b3d634,395.2,373.1,496.2,340,385.1,464.8,450.3,488.5,460
165,e418fbb77e6ff4103205f3b7f6a66d53183d809b,445.6,562.1,493.6,320,394,481.4,490.2,556.7,480
166,8ddbfe70cd41135cb6f125335a48d100789edbf7,394.4,405.2,438.4,400,463.9,531.2,423.4,494.4,400
168,1d3e406d0223d4cb0328850d689ba9fcadf62776,448.1,437.1,474.2,460,451.5,478.7,527.2,454.3,420
170,ecaf075653faf2dcdf946c0ce50629f5083347c0,366,581,435.5,580,470.4,478.9,539.3,394.2,700
171,7a2bba61a48894f9bd6fc981f77f2b627b0d8ae6,500,526.2,566.9,460,428.6,622.1,495.4,509.6,580
173,5b7877d12550dd35d27a02b66a13f2a27bce11ca,407.3,505.9,449.2,460,546.1,585.4,575.4,568.2,720
174,18f800ec03e33ebad5fb97aa8465dd3e5961337e,487.8,434.4,395.2,440,532.4,532.3,497.4,415.2,620
177,b05356be088f726b5ba7e0b0a9aa1b5cf4157b2a,512.2,569.6,439.2,480,535.6,507.7,495.9,445.3,540
179,cc8794762ffa592758b5117d67e0d02e2e8b9c49,460,617.2,587.5,720,453.9,437,387,441.9,280
180,894d277c608610fa8c31db531f64582b9569b2e9,453.3,498.5,431.3,360,466,552.1,544.3,538.3,480
181,b2e029961aa0f20071b74708e0d97e6f200ec582,406.5,556.7,514.2,600,553.4,553.2,542.7,548.8,440
182,12c7d85e168b09a0278df140a22bcb0052a59b0a,395.2,488.5,436,0,425.4,486.6,522.9,465.3,520
183,64c4892488a9c6281bdabf467a0b5a6382d248e6,459.6,580,491.1,480,412.7,492.6,454.8,367.1,480
185,ac112e94587e6e4249b7182329ee5a5040ae94ea,517.4,592.6,537.3,800,448.1,521.1,515.4,383.8,500
186,a58cf11e498228f9aaca92b0c49f955a6163fb59,439.4,493.3,452.8,500,541.9,626,620.7,571.8,620
187,e8c84701c041b7f3b39f3125a0449fa633589fbe,435.1,619,583.2,460,478.1,573.2,553.8,463.1,640
188,af8dd560d9ea4adcfd0d2b6b5f81f95fad9c3222,596.4,600.7,567.7,960,491.6,433.4,444.8,393.8,560
190,ac9cc7dbe0e70fb6717aa371a23aa75e6594ec02,438.7,473.4,441.6,520,462.8,531.5,350.6,487.4,500
191,e64ad901853230e396be49311ea98121c348fac6,504.3,465.9,532.7,380,557.6,608.8,603.2,602.4,760
192,8532af19be3729ea233c1f29e4c015820fc7fb3a,430.4,577.7,540.9,760,426.3,487,394.2,351,0
193,6de1d7f2ad49d20e5782f8cacf4f0b677ff2d316,460.4,491.8,486,620,394.3,445.2,395.5,391.2,500
194,26853fd075fe27954772c3070997635b94f32b83,445.1,369.1,462.3,520,479.2,592,623.8,443.8,520
195,3159f29994dadd5cba1f94c3f3b9ac69e24c1cc2,543.7,558.6,554,660,419.1,476,415.2,374.8,400
196,574ec310dee846f9ae8eb278480257d463f6fbcc,399.5,584.8,543.4,740,619.3,637.4,571.5,700.9,840
198,8a46e35787225c3e7adef2b998ad9c93a952106b,445.7,619,651.6,600,405.7,550.7,540.2,500.7,380
199,b62bf908b504e8c6898777a7f5b88afed358caea,431.8,538,358.1,520,456.6,502.4,553.1,375.6,560
200,10d22971ca4f53fc62d02905809ff1c37fbb68fc,581.4,601.9,656.6,600,613.1,682,614.2,769.8,780
201,0efd9ad5eb41ad08e1f1af9fbe59eb5845323860,447.6,498.8,441.4,300,491.4,381.4,430,420.8,460
203,8f2c4684ec70392c718c278b10b04ddfbd4ced1f,593.4,586,492.2,540,407.8,511.3,502.9,517.3,560
205,c03f2bcf9ef69bcfdf270b6ffc6110408f0ead41,416.4,554,527.6,580,396.8,512.3,540,400,360
207,d76614020539405f481c0f5ffb9e6f88a0bf21b7,393.2,542.9,466.6,560,401.3,503.2,563.1,341,560
211,92acabe95cd7dd1ae1dd63547cde3a4939cf7e2e,507.7,545.3,508.9,760,573.8,613.7,607.2,631.1,800
212,ddbf5769bc4a6fb2aa16e5a031d8eb7796d1c04c,480.1,465.9,520.8,420,571.2,593.9,558.4,601.5,580
213,176b027cd932b17fcb6f119cfcef338a175062b8,385.6,394.3,486,240,446.2,497.6,420.3,545.5,720
214,41474f2dda61d97f38ba79906d3dbcce223d1bd1,485,603,597.3,480,519.8,566.3,445.7,539.7,640
216,1c5a1514e6a5c44e5683ec01698a83ce474c2e4d,508.4,575.3,489.8,440,539.1,530.1,550.5,485.2,500
219,d4e97da32ccb6987ec074aa48c24ce949c05a78c,424.1,500.5,454.8,420,543.2,657.4,640.1,570.8,740
221,95c1d266a2524560761df98b376c17604733a6ad,559.6,568.6,513.5,560,525,437.6,505.1,400.1,400
222,c11c4303d2632cde64105a35554ecb77a8564260,454.8,541.9,528.5,540,516.2,587.4,518.3,381.3,560
223,30ddf113f77266181ef7bf57ea7d4ca3f505fec7,407.2,565.1,578.5,580,494.7,408.7,533.9,348.1,520
224,6d94e9582cfdb5d239f21b3ba08b619d81c5e8aa,551.1,599.9,511.6,560,670.6,614.3,674.9,793,800
225,3671441f51dc0c3d052e87d6b8beba46bb70bfeb,393.3,517.8,517.3,540,542.3,573.6,572.7,509.3,680
226,580c34923cbde328e0aef1641dd02033fc862c04,444.4,486.3,526.5,620,387,492.4,570.4,547.7,560
228,29d8bf198da9caa59047268faca60207da24d1b7,566.7,553.2,521.4,680,439.5,475,502.9,533.5,560
229,1b3f80a1cd9fff0408e96169fcaf006936b34fed,463,446.6,531.5,500,374.1,395.5,450,409.6,360
230,b5932043b62e0c58e16e2cc2c9d5489390e5c895,513.2,486.4,491.2,580,417.7,529.7,496,421.9,520
231,99092cc60948943c59d68d62ed81a75a03059113,470.7,506.3,531.7,380,460.3,500.5,480.9,412.7,560
233,dd69fca6f17420dc911016a79e70583ca7ea330d,470.2,498.3,386.4,320,476.1,357.4,425.6,455.4,420
234,d387995af060965fb9d18973f3dbf4904f071066,439,460.1,392.7,340,384.8,498.8,568.9,429.1,640
235,27dbf6c09f5e0f3756ad3e9ea156fbc330601a6a,482.8,529.1,500.5,560,549,642.2,580,666.9,940
236,543674772357cf9d8a7a8e7dfb89384af80ec30e,454,579.1,585.8,600,473.8,478.7,479.5,504.4,520
237,80a12b8a4c9df4ef4f78a33d41858b6f1ea24144,403.1,510.7,482.5,480,445,475.6,506.6,379.5,480
239,0736d379ea0962e316ce84cce8e883321be36abb,452.8,418.4,456,520,515.8,595.9,549.9,563.3,540
240,98cc842c547c69a0d27776e272fd8b61131b0b37,412.6,464.9,475.8,320,390.6,592.3,616.1,448.6,520
241,890b7696fa85ca2b3e90b3951efec2135e88d5cf,405.8,470.9,557.6,640,446,406.2,515,422.5,560
242,f3c4cd2f095979416fcac08d630fb1b1623ba5d6,660.2,687.2,630.1,820,456.1,493.1,505.8,355,500
243,d84b48f7dc7a6e387e6e985525143589754c5b13,399.1,571.3,441,480,482.1,501.8,390.5,621.6,460
244,71c9f09a9ed64f1cf7ba1bef4a614ad21e00afc9,475.1,558.7,600.4,440,369.3,466.2,396.7,364.8,460
245,dc4fe9d4124d9278f58f6f999711116a3fe58be7,491.6,535.3,525.3,460,398.1,513.8,545,450.9,480
246,f6624d763619c0898b34dc02adf06f53a1721cd0,415.6,555.1,385.8,560,558.5,593.5,618.9,422.7,800
247,60b1c12559860e7ad966da4c4db5c78e17278fc0,470.9,583,570.2,500,437,454.1,478.1,372.1,440
249,4f365503582b97ea96462d0d36895a5e7f5926df,428.7,456.2,433.7,580,444.6,501.3,484.5,434.3,520
250,c80869804effb21d50cc8fff3f4c27ba5521240c,417.2,356,411.3,420,408,492.9,456.6,514.3,460
251,d0f351638d60e84b890a498d69c9a7961cdcdf36,444.2,449.7,478.9,700,397.1,525.5,527.4,471.6,300
252,48e8ec135997ff3676648d5c144c3c7150a7bbb1,370.7,489,473.9,440,505.2,527,485.4,444.6,680
253,45484014aefd10ea3e4b08fb93e66c251709cca6,438.1,483.2,499.5,560,439.7,509.7,485.4,362.1,320
254,ccd8d735f7b3c980582f9086a6cae8b9ce8dea54,407.9,529,467.5,480,444.2,530.7,522.6,396.7,580
255,b2e2d1aa1a539b402da8b8fe52520fdf9ed7cdd9,401.3,373.9,456.1,480,436.1,560.4,358.4,529.5,180
256,25c9e3b023d4d32d0f15cb9041ea6b2bfbec6a63,571.6,618.3,592.5,600,476.8,430.8,506.7,388,520
257,0fb75ce5f51e8afaf504c75de131eb31f89faf4f,404.3,528.5,398.1,400,546.9,561.8,559.9,484.4,520
258,26e6e8cec21236dfc21cf98812a3d99a3f87d99b,548.1,594.5,606.6,660,377.7,502.1,466.8,362.8,480
259,c83c66733c5bd90a59996e473bb69e44f6522976,402.2,520.6,405.5,0,462.4,629.8,600.1,574.3,620
263,87f89c855f377c5b100ad2986cc6569e31d94a98,563.9,573.8,578.8,460,446.2,462.1,410.2,487.9,420
266,eaecf3dd32668664e1dcc2d6c7a69042824806a6,426.8,467.6,503.4,560,511,622.1,559.8,550,640
268,c59b370d3aa06b68878c836bceac844953d74972,486.9,437.3,499.2,460,541.2,600.2,606.9,570.2,640
270,b2128312e70fdb830091aecb6b27d82617e2e226,453.5,431.9,401.6,0,438.9,575.6,474,427.6,580
271,8257941af168c0cc15f28bd596fd922352dae732,383.9,461,433.8,580,515.9,555,540.5,524.1,480
272,854ce153823802674f35bbe1ec010b12e9b3a56f,441.3,481.2,446.4,500,419.6,494.4,462.4,419.1,560
273,27f1db4e266b154f6f7fbef9c225fab472652a7b,428.2,522.2,449.5,400,446.2,498.6,425.1,407.7,520
274,11b90bed4a05d11169f308370faf81d6e9ca2c4f,528.5,399.8,377.2,280,519.8,545.6,519.7,488.5,600
279,e001e1d73163c327a4d800697b1b36cd6921f60d,386.1,575.6,496.9,680,447.3,474.8,396.7,445.3,300
280,b83424ca8973e4b2eebf6eb9e26e842999432d22,410.5,419,415.4,460,380.8,585.3,487,593.4,460
282,912d751c54b46c860c5ba61666fc6fc59ca2689d,393.9,387.6,376.2,400,419.7,575.1,582.3,455.7,540
284,e114f7b197069bde8e158a0dbeaa022dd0c4e280,446.3,509.2,498.2,360,467.9,595.2,540.2,367.9,560
285,fa84edf183bd459ea9394d77bdc191683a75ff66,545.7,648,587.2,780,413,486.9,522.9,519.8,520
286,76190ff09a736ff83169394b770699b2709c5a27,497.6,523.3,541.2,540,617.8,701.1,630.8,688.9,700
287,515db15df8581ae72bb8e8358833016adee74e02,470.4,488.7,519,240,401.2,660.7,588.1,623.1,640
288,e2a05053c19e6fba60d0e582e6c7f371728a7106,474.7,538.5,464.8,460,453.9,560.6,523.1,374.4,540
290,2378556841bc8d5746f2b94d6adefc2db20f9518,510.7,595.5,520.3,760,452.5,551.5,534.5,403.4,520
292,796d558152d241567f8a72b535a5e36fe78886f3,435.3,469.6,475.6,600,470.2,547,564.2,553.8,460
293,1093edca7a04127a6e04570ee9cb58ef1bc0a69a,467.4,631.5,611,560,415.6,484,503.5,491.1,420
294,3c748fc7a94edb7ac1484373751ffa8574a3281d,411,513.6,445.7,400,400,680.7,595.4,580.7,480
295,344a6fc8038e291a6371f94963d7a7f5e1c4d55b,433.3,477.9,360.6,0,475.5,552.5,522.9,342.5,500
297,10a1e8808e744c619376bff659f859cd71e8c41d,504,440.5,417.6,440,422.3,542.3,571.1,547,580
298,fc959dafc37dde3f173f083486d84ce5c817443f,441.6,478.2,497.9,480,467.2,536.1,514.5,425.7,0
299,6979d91c0a1903a336c640e14eed100821a0e24d,482.2,524.9,447,540,472.2,442.1,437.2,408.3,380
300,d4e37c4c1235ce014392f6c8ba0436f195b9e459,514.7,572.5,599.3,640,412.1,475.7,475.7,499.6,520
302,565a955a60c6073157aa869c0351c626a7171ef3,506.2,615.9,593,560,462.4,595.8,545.7,476.6,560
304,99be797e423b5ae08fe342ea772738f71975df47,653.3,511.7,647.1,520,714.6,695.1,665.8,808,860
305,b579ea83f2d6c15b2c717d16a89827d65f39904b,446.6,554.4,533.1,640,475.9,574.7,502.6,541.3,640
306,e9373b5c22567bec508f2fa2580e4dc3ff687caa,523.7,582.6,597.7,600,538.9,696.2,664.3,513.8,780
307,a465af361b68bd536dd8bf61d522b9b21755ab60,577,558.7,490,520,538.5,521.6,528.4,466.2,560
308,c8feec2a94d996d03534ce935dec7a034667f107,717.2,773.6,646.3,780,458.2,606.9,595.9,501.9,560
309,af1890b4dbccbf8b6af56051a39bd4b13d1c971b,454,574.9,506.7,400,385.4,585.4,476.5,510.3,540
310,f4f7888cfe88b7a3b0f3d94749921976353ae82c,509.4,559.1,441.9,460,404.2,481.8,449.3,469.3,360
311,cdf60a765205a4e99eab17c72a68ff9cfd019dc6,485.6,567.8,488.4,460,438.8,528.8,512.4,451.6,560
312,2e466f15ac7b80870736fac2d0cf4bd7f362e852,517.4,448.9,464.9,340,406.5,377.4,438.8,400.2,440
314,fc83a5c665f70f39b4c7d326118cbf21a898e660,601.2,594.3,569.4,780,456,588.4,499,347.8,900
316,ced4913c2220be57c54bc9f87bb4f441d5976671,461.4,486.7,516,480,555.1,584.5,575.8,568.3,600
317,880ade460a231d722e8bb0e4d17f3c8f77663d37,393.3,449.6,429.5,380,467.2,507.8,558.5,393.6,420
